Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Label
0.032657959,0.205250112,0.615062868,0.137888855,0.207451075,0.56109026,0.1486794,0.26459648,0.373318453,0.070684107,0.839825495,0.151816607,0.623131068,0.638916207,0.020570653,0
0.875086614,0.020542939,0.030505062,0.949381244,0.981998232,0.761936238,0.356972946,0.021477226,0.733359955,0.031122306,0.151274752,0.455895915,0.033725036,0.962980359,0.332309934,0
0.390615623,0.940068911,0.854610379,0.429596218,0.039283837,0.038639458,0.027464799,0.900400674,0.641577858,0.483000585,0.036016388,0.968196334,0.980756047,0.196966863,0.20999662,0
0.051923069,0.195360594,0.594114272,0.150987734,0.201635098,0.552084465,0.13578069,0.247583627,0.35639816,0.073832461,0.827796086,0.149944211,0.600833025,0.623575948,0.046727984,0
0.415257649,0.182475045,0.971879824,0.056374348,0.164172136,0.476440202,0.155359283,0.818397863,0.029669837,0.927246434,0.821830836,0.139648056,0.041673891,0.871389774,0.97324089,1
0.809028913,0.036393005,0.048921141,0.946453067,0.963127381,0.796329093,0.347418508,0.04581101,0.7114629,0.057375034,0.152047481,0.476337543,0.040526421,0.964622902,0.332583325,0
0.956942205,0.217661657,0.60291251,0.319249294,0.054181249,0.986782759,0.969583105,0.953633922,0.969807575,0.31832961,0.975284335,0.019982417,0.268267317,0.012440132,0.43160325,1
0.449506576,0.970521926,0.841440669,0.407847255,0.01857974,0.034215841,0.017873439,0.883003382,0.616287417,0.487814003,0.030798501,0.945184525,0.97754866,0.210642348,0.216457041,0
0.433435105,0.161895401,0.978611676,0.010061399,0.183137843,0.485974287,0.126772967,0.830811331,0.002639716,0.957754923,0.81403182,0.144749942,0.029089879,0.875539601,0.943613722,1
0.94251813,0.21489832,0.587966423,0.317357129,0.051112209,0.952191577,0.951606971,0.953591303,0.955463599,0.28938631,0.973927798,0.033826276,0.251184346,0.041632339,0.428929408,1
0.929638568,0.200596875,0.570521862,0.345422751,0.055895645,0.975259766,0.964029378,0.96977339,0.959477343,0.307013693,0.960718867,0.029802892,0.263355337,0.034492565,0.434148809,1
0.450305056,0.178770487,0.964130812,0.029371568,0.191797095,0.467598216,0.143652531,0.841281182,0.036649254,0.964883888,0.826956748,0.153684875,0.037881188,0.865443832,0.985516053,1
0.842134906,0.054187682,0.043430241,0.955677623,0.943800922,0.783018155,0.341244351,0.039332852,0.737520616,0.041141503,0.127898098,0.482210829,0.054983659,0.95855407,0.32423658,0
0.439970398,0.9639505,0.872488898,0.428294534,0.032467573,0.034436011,0.010084148,0.890581115,0.647221548,0.501289854,0.030564478,0.992269056,0.972463807,0.204381259,0.229439831,0
0.847718275,0.053883582,0.026327555,0.965570329,0.968664763,0.803964224,0.388040558,0.048556961,0.731675608,0.084596724,0.14116111,0.455821213,0.061432434,0.979897429,0.34767261,0
0.403615063,0.967916468,0.849411254,0.440503591,0.030334253,0.019891507,0.036254059,0.891296933,0.634478636,0.519952929,0.032615212,0.970684009,0.952218421,0.209336367,0.245719301,0
0.95965262,0.194083118,0.593652298,0.331804912,0.043604755,0.969365408,0.960532216,0.985792839,0.962625546,0.313294625,0.956962939,0.032559479,0.241943037,0.020342854,0.470078613,1
0.438854109,0.139964778,0.953864294,0.041950632,0.166881694,0.47893098,0.15498991,0.826583927,0.020056913,0.967231196,0.804073175,0.135831817,0.033232994,0.860294994,0.960056878,1
0.391497057,0.959024727,0.858104507,0.406395131,0.032148652,0.026997015,0.029321912,0.893238256,0.626987305,0.473500929,0.023396518,0.986734666,0.975908653,0.201922642,0.232940186,0
0.015959452,0.197629832,0.603166119,0.144036545,0.17516172,0.57458807,0.131754378,0.255622838,0.351528206,0.071572005,0.823602836,0.141857526,0.623872335,0.610671446,0.040224534,0
0.051502609,0.19598252,0.601404675,0.168295087,0.173445049,0.566382898,0.154130807,0.232337788,0.365367857,0.067463748,0.834413188,0.136060894,0.629289117,0.608281837,0.032533155,0
0.05850856,0.208430594,0.593691032,0.145462863,0.193426479,0.569325041,0.123147594,0.241817144,0.360311979,0.099350588,0.832992485,0.134910452,0.609596284,0.623142206,0.01940674,0
0.037337905,0.198074082,0.60900436,0.189769793,0.191289015,0.527258256,0.134629879,0.248794139,0.37290154,0.075577035,0.84019494,0.153284499,0.628486956,0.621037916,0.038024337,0
0.81491893,0.033864471,0.034061856,0.965561077,0.960106634,0.796416479,0.363836093,0.019459868,0.73903062,0.041447158,0.129652801,0.462552809,0.061841492,0.96705878,0.324137382,0
0.896671165,0.199833849,0.606937445,0.338314297,0.046849424,0.984282389,0.980813036,0.966722391,0.97739408,0.34061133,0.958807119,0.035974336,0.269402088,0.035937395,0.419377034,1
0.044822092,0.204276657,0.59640515,0.136846056,0.18385856,0.555146349,0.147916496,0.237399487,0.373429548,0.070894584,0.815548034,0.135074391,0.632782414,0.624080109,0.049217402,0
0.827399404,0.048384192,0.002921849,0.972228985,0.978390685,0.785980317,0.349639612,0.043480657,0.725689314,0.041532504,0.146748505,0.487962579,0.050776619,0.976221955,0.320651559,0
0.410362043,0.973028418,0.878655708,0.395008537,0.013429486,0.037239529,0.053947826,0.885371085,0.650769201,0.491599853,0.021845536,0.963326595,0.981778353,0.201158241,0.228414643,0
0.396376187,0.999372664,0.846728887,0.382938194,0.036234635,0.039094872,0.045308426,0.893526948,0.640678269,0.520488715,0.021171318,0.963828223,0.962061742,0.208241267,0.247520178,0
0.956695848,0.207708035,0.569036444,0.314564138,0.057831267,0.956792877,0.961295573,0.963779354,0.961249686,0.331291097,0.9692608,0.040035446,0.248564699,0.044259072,0.444462535,1
0.474224813,0.140061197,0.973239316,0.03957552,0.171387451,0.486384588,0.127728064,0.812115142,0.014900339,0.970498179,0.816392635,0.154888037,0.038154676,0.890909124,0.994799091,1
0.854008338,0.024339016,0.03217189,0.965525282,0.963917232,0.779284069,0.351667322,0.016508563,0.708720318,0.057977775,0.130453906,0.473110149,0.07466974,0.984665025,0.313097541,0
0.05364134,0.190424123,0.606628012,0.13289032,0.184667904,0.572309464,0.129266667,0.240129319,0.37048891,0.075222861,0.834895646,0.149502378,0.583345865,0.638698409,0.065233835,0
0.044551296,0.192950083,0.588295789,0.128322405,0.187228122,0.576092499,0.134308474,0.227604571,0.371116727,0.045597668,0.814492722,0.146537734,0.612064591,0.614819786,0.032066376,0
0.449403214,0.166047506,0.973962704,0.039338575,0.15876531,0.484331195,0.134098116,0.79856607,0.021781734,0.966027318,0.793612029,0.13703889,0.030436716,0.884518869,0.983255478,1
0.92627779,0.205332908,0.594464068,0.347553381,0.063792687,0.963309637,0.980829727,0.974274828,0.985022766,0.308927739,0.95898512,0.042630335,0.240093248,0.032035717,0.432660444,1
0.047539087,0.192073056,0.584812159,0.169731844,0.209920529,0.551870279,0.126211473,0.239928597,0.354397494,0.099846914,0.819613637,0.142822476,0.596474315,0.629028758,0.035034854,0
0.390731136,0.171535143,0.972204949,0.053702132,0.170015096,0.494881463,0.131999443,0.787550548,0.017845919,0.960226454,0.815275669,0.146752063,0.017587531,0.869382644,0.9689229,1
0.854198128,0.03933067,0.04751961,0.962940189,0.967772698,0.782165739,0.363581709,0.023449666,0.708921099,0.021091287,0.126547985,0.47260862,0.057046226,0.973818539,0.32900362,0
0.842458242,0.038689361,0.028685949,0.954078397,0.982067332,0.798397348,0.353412039,0.030460291,0.727979436,0.051264429,0.132060598,0.467413585,0.043884695,0.972474715,0.342739327,0
0.405356687,0.950729346,0.867563335,0.410687316,0.019457692,0.042041486,0.012928221,0.870113718,0.645566511,0.521336448,0.024129508,0.973443628,0.961466148,0.211200891,0.220544602,0
0.938800093,0.198143741,0.593225946,0.329310528,0.051086116,0.971761148,0.972937584,0.966256265,0.977990697,0.311855035,0.956411633,0.044348215,0.255461429,0.039743019,0.43569533,1
0.877765116,0.020355812,0.031512302,0.947986955,0.966342381,0.791826846,0.396062149,0.036478722,0.726450794,0.027984695,0.115130467,0.478076727,0.055628262,1,0.348269699,0
0.436933863,0.148669623,0.963101336,0.028058688,0.16984655,0.477153081,0.134209383,0.834031453,0.037317968,0.938935305,0.81701397,0.140560688,0.024349529,0.874409994,0.978531521,1
0.03880039,0.195397073,0.602178674,0.163266077,0.185116092,0.541508053,0.165770577,0.245607815,0.36344374,0.082733065,0.820469379,0.149699723,0.602914968,0.630358778,0.032084652,0
0.949697276,0.224892436,0.598596896,0.336646415,0.051005847,0.986288087,0.94972745,0.951007101,0.971576932,0.29289048,0.981182997,0.011995259,0.257689481,0.037769851,0.431703847,1
0.905463383,0.214758702,0.586042776,0.325251069,0.065879533,0.987525977,0.965540751,0.983175694,0.950823451,0.309647828,0.96416574,0.033046076,0.243301001,0.01418073,0.417497397,1
0.418050783,0.154240378,0.984263132,0.039855921,0.184294504,0.478496063,0.130788355,0.8121103,0.014677585,0.991720595,0.825207648,0.154529365,0.013963019,0.864254183,0.955344763,1
0.855707368,0.028966883,0.039013024,0.954844529,0.959427218,0.787569255,0.366025081,0.028101665,0.740009029,0.017064624,0.158017966,0.466158578,0.074153242,0.973972328,0.324365847,0
0.434584206,0.140733529,0.97903153,0.066922941,0.16188196,0.473896655,0.130257258,0.808351963,0.018004035,0.941197905,0.80743107,0.144246701,0.023961227,0.877486488,0.978619497,1
0.430690307,0.97765077,0.845076907,0.40170028,0.034458295,0.022875695,0.012343088,0.914746941,0.62743726,0.479622775,0.006069604,0.983053586,0.963281458,0.21145323,0.240952662,0
0.829501009,0.060864778,0.027377824,0.940611661,0.975851312,0.791167899,0.362696113,0.031459552,0.738017609,0.062074134,0.146856131,0.458866709,0.073702736,0.965899079,0.333782242,0
0.00990756,0.201807934,0.584004201,0.166571797,0.19285373,0.554301633,0.132906136,0.239248018,0.346772889,0.100647241,0.818083367,0.165879627,0.600829973,0.631555009,0.019907816,0
0.439159703,0.963552821,0.848786672,0.417872771,0.009036228,0.040134591,0.045034291,0.892482405,0.649904852,0.46802094,0.048199984,0.966110411,0.95994217,0.208550883,0.253717268,0
0.063189965,0.194667874,0.592465882,0.166375459,0.166853068,0.536608855,0.127300182,0.260257292,0.355836624,0.099008188,0.839651336,0.152120169,0.614544955,0.628901692,0.038241572,0
0.873305188,0.054651115,0.059843841,0.957644343,0.968473285,0.772001509,0.355062065,0.029951291,0.73508923,0.027553041,0.135411329,0.448693822,0.065742708,0.97895999,0.31309045,0
0.435642811,0.138120668,0.980406829,0.056990707,0.17529246,0.465224307,0.142926644,0.825718697,0.019519288,0.967380865,0.819090419,0.145129627,0.022490728,0.867230056,0.955410692,1
0.054222749,0.182285377,0.593849608,0.165548464,0.18202061,0.548835717,0.139470525,0.266281456,0.367464818,0.094067725,0.821084146,0.149000548,0.61033315,0.62711974,0.042209244,0
0.939568701,0.209674776,0.567647875,0.347830287,0.059810365,0.981270449,0.973255121,0.96821694,0.969585476,0.310810279,0.985223858,0.03069703,0.249985353,0.015044537,0.429371592,1
0.829459547,0.023871045,0.032152683,1,0.977197009,0.790516042,0.361949265,0.022823945,0.729906733,0.046186637,0.153746306,0.464380467,0.057555408,0.95887853,0.337980425,0
0.933943533,0.204403313,0.587346324,0.336960897,0.06800289,0.982558468,0.978075949,0.964483807,0.976637217,0.308998449,0.977593565,0.038618616,0.265332746,0.024943686,0.422327762,1
0.418267065,0.955196199,0.861805846,0.414717645,0.047972784,0.025954328,0.034006774,0.879582552,0.6276987,0.491754186,0.013010631,0.958754585,0.981440354,0.209547074,0.21888829,0
0.397146911,0.978046174,0.84141252,0.395962824,0.034313899,0.013788988,0.060084461,0.889167521,0.634979192,0.476609352,0.025662286,0.969365778,0.968383312,0.218046936,0.220913803,0
0.8780359,0.034752722,0.033196961,0.94718505,0.968837858,0.788957277,0.354899163,0.034519131,0.72410251,0.047806659,0.132627884,0.446135854,0.091966741,0.979531931,0.322164474,0
0.024719873,0.189370529,0.600380529,0.154089026,0.170960755,0.536577241,0.136098653,0.241763365,0.359225809,0.069869857,0.831603363,0.158160048,0.612335246,0.622328455,0.036334698,0
0.062851159,0.20429908,0.588834112,0.122929279,0.189332752,0.554129867,0.139534112,0.270061056,0.361873824,0.064002678,0.815136941,0.145744373,0.612496137,0.626406498,0.060337,0
0.458300484,0.159241512,0.982658148,0.037212451,0.204451964,0.481729971,0.158435728,0.809202417,0.02290975,0.947730523,0.839430717,0.145785835,0.019451139,0.883375308,0.969956918,1
0.851188151,0.031946946,0.039371313,0.966836559,0.964232913,0.784331941,0.357868101,0.037552097,0.736232334,0.029340264,0.129339929,0.460276874,0.05154395,0.951965435,0.290016941,0
0.858612105,0.038636306,0.032531699,0.959328421,0.963675731,0.796754697,0.378089403,0.021448627,0.711859263,0.05230337,0.121441934,0.451595101,0.038445745,0.967416564,0.335535904,0
0.927439091,0.214647652,0.600299872,0.322312736,0.075489674,0.995854538,0.953882136,0.967981295,0.971182437,0.345258383,0.962153908,0.019964052,0.235865966,0.042138897,0.420034798,1
0.365234461,0.969674029,0.885102561,0.409885881,0.028280754,0.049809881,0.036173227,0.890693575,0.636057991,0.494147992,0.017055401,0.959570384,0.996158835,0.213147236,0.228680546,0
0.422097403,0.159020125,0.986038454,0.046353026,0.202985424,0.459082611,0.138593884,0.811972833,0.030716862,0.98092722,0.832560927,0.148647284,0.038721128,0.871533453,0.953932346,1
0.943554293,0.205638785,0.610664189,0.313591917,0.077132829,0.95676302,0.98021732,0.982362227,0.971004363,0.294378281,0.953915651,0.009124488,0.267873549,0.025573616,0.414427584,1
0.938970408,0.204980954,0.596257191,0.31136851,0.053414921,0.981888803,0.967216529,0.960553103,0.958063449,0.319423884,0.964408449,0.035497327,0.239520913,0.016483913,0.433490305,1
0.852875197,0.053504477,0.035573648,0.963969122,0.963923669,0.774278185,0.339114342,0.015333376,0.721119251,0.051305539,0.132688674,0.467664422,0.076004339,0.965941081,0.369069952,0
0.03775412,0.19161459,0.607550024,0.162776097,0.195797388,0.560463682,0.114014514,0.271814262,0.366477109,0.08104177,0.823180062,0.161011125,0.598158309,0.632478465,0.006600009,0
0.437158158,0.160353825,0.980721254,0.035395311,0.173112298,0.477175466,0.127665893,0.804080891,0.032410487,0.96860301,0.807091493,0.145731996,0.038355563,0.879292596,0.972396018,1
0.069223968,0.195692261,0.628489153,0.151129478,0.177470557,0.577212294,0.115809081,0.22764051,0.363550112,0.072486556,0.824734955,0.159734092,0.600272943,0.626524983,0.030896572,0
0.873262748,0.049127755,0.019261461,0.951770449,0.955033103,0.764447537,0.345667149,0.042348749,0.729321228,0.023102557,0.129826189,0.464014445,0.042563969,0.979368268,0.332770072,0
0.396988265,0.150618358,0.984756943,0.041686663,0.171836376,0.476850158,0.136068169,0.827950136,0.02094203,0.95885484,0.801666241,0.1560005,0.025193007,0.868734483,0.964008625,1
0.969755833,0.201570985,0.594567678,0.346636008,0.044485506,0.993016895,0.98361936,0.950946609,0.971576029,0.298130662,0.965665908,0.033779584,0.258702679,0.023729533,0.423643308,1
0.862653445,0.021328327,0.054022821,0.961635529,0.962107843,0.79067165,0.35709952,0.019120177,0.726001711,0.029912417,0.141689847,0.457885102,0.060776477,0.970061867,0.337719936,0
0.432901741,0.954068952,0.832580506,0.42009391,0.030520621,0.032736588,0.040664777,0.892977332,0.635640043,0.501847616,0.0341981,0.983118309,0.986114031,0.227852559,0.21809328,0
0.053080783,0.199601271,0.565276466,0.161168277,0.190175746,0.571760697,0.139962229,0.246781146,0.374833689,0.033461908,0.821738316,0.140889039,0.610264876,0.601835896,0.054630971,0
0.043922638,0.195669756,0.585534326,0.156540006,0.190053691,0.55382151,0.143815091,0.239239352,0.373670742,0.074533401,0.843244898,0.174943952,0.605281723,0.621143553,0.032505444,0
0.399459157,0.981271936,0.847522455,0.430001161,0.034658708,0.039917492,0.014040294,0.889371751,0.630390413,0.466444201,0.04048913,0.965182374,0.967608682,0.200085112,0.237173835,0
0.947662651,0.215150414,0.593554924,0.350961795,0.066465591,0.981348165,0.974030246,0.969606881,0.968172855,0.306450709,0.956407124,0.019308287,0.255159042,0.015072016,0.424324716,1
0.452858199,0.163369281,0.976085367,0.029530795,0.17430189,0.465460017,0.123200599,0.798904993,0.032679936,0.954619143,0.810453128,0.143418433,0.007938282,0.871979145,0.96466751,1
0.938330997,0.228728066,0.568779123,0.335578533,0.057308338,0.963760478,0.976791867,0.967636467,0.944135756,0.281167683,0.977351115,0.012492989,0.255253664,0.030173821,0.427630221,1
0.926677559,0.210437012,0.596579293,0.34973331,0.062249722,0.972795311,0.966787925,0.955486624,0.965037701,0.308522782,0.965180749,0.013272325,0.233709361,0.028382799,0.443215913,1
0.050465009,0.186852813,0.586577259,0.152680251,0.181078451,0.566832834,0.126363758,0.253089905,0.358683157,0.060177106,0.823665077,0.152694088,0.621123366,0.623075713,0.018973399,0
0.912916902,0.214976358,0.603446673,0.323229125,0.050807959,0.962751156,0.967341602,0.972436553,0.98582225,0.332151263,0.978494354,0.031324643,0.236088922,0.047138268,0.426537175,1
0.47532277,0.173988753,0.972145922,0.035259998,0.178473986,0.485201169,0.140340073,0.805621022,0.025630063,0.953200055,0.816645151,0.151419874,0.037226581,0.88382061,0.983433339,1
0.084910937,0.187094504,0.615777788,0.149760306,0.190758114,0.572595376,0.133228421,0.24458234,0.371354198,0.05412699,0.839088114,0.150619444,0.604052215,0.619233071,0.016436757,0
0.426207888,0.173708461,0.972156622,0.055169484,0.189731829,0.45427727,0.136511792,0.814377491,0.017010453,0.920122058,0.797001235,0.149181753,0.022760854,0.86043322,0.970460264,1
0.414630949,0.94732638,0.870554029,0.438787968,0.019026766,0.042691833,0.020927939,0.890295029,0.621425087,0.526685257,0.025863212,0.975290063,0.966712405,0.231448975,0.25392369,0
0.045148549,0.201243126,0.597187615,0.171863866,0.194151813,0.552862478,0.115969538,0.263105919,0.368844073,0.067222406,0.832780968,0.149891788,0.625740124,0.604769885,0.030372568,0
0.426676324,0.970289569,0.854844938,0.395315945,0.010329049,0.031111693,0.01721998,0.887833669,0.624872956,0.460372646,0.032683268,0.969496699,0.975497231,0.201396514,0.22253532,0
0.460079842,0.160702273,0.992578461,0.032346476,0.149948311,0.458354736,0.128253938,0.822897159,0.014806239,0.940711792,0.800571615,0.141072141,0.044224345,0.873083036,0.960973287,1
0,0.205841924,0.59943045,0.164470004,0.196828704,0.558588343,0.156512319,0.25517345,0.353511265,0.06857722,0.803508167,0.13942854,0.606302403,0.631785039,0.025382349,0
0.439824519,0.160762911,0.975302939,0.04198974,0.168487445,0.46317066,0.128693513,0.813716927,0.006383861,0.93888058,0.809729351,0.140685944,0.024950742,0.87647788,0.980309556,1
0.92951805,0.22071535,0.574735924,0.325027568,0.052698272,0.951830917,0.965714868,0.978350524,0.969113461,0.320728686,0.982256725,0.025896332,0.276960517,0.025043793,0.427033287,1
0.928550961,0.221336264,0.584028306,0.334152534,0.060355117,0.952955936,0.970685308,0.97108208,0.971447886,0.310103208,0.992108381,0.042466475,0.247133575,0.030233454,0.454955878,1
0.452704874,0.153874448,0.990079442,0.055593319,0.177585357,0.45543889,0.152452288,0.836712197,0.028159276,0.952433604,0.808221341,0.130589813,0.02243997,0.887286889,0.984372231,1
0.784265539,0.045913238,0.013148904,0.937021636,0.960812711,0.767079344,0.345057372,0.015736112,0.72803266,0.02578884,0.135176074,0.477988344,0.070829229,0.970695643,0.322031398,0
0.428104955,0.165105701,0.948295805,0.012652472,0.152739202,0.480828013,0.14272497,0.813886001,0.047739029,0.968260282,0.796930092,0.146222396,0.018121627,0.87369861,0.968693951,1
0.841214273,0.066060864,0.018910873,0.949795684,0.957965035,0.777822815,0.345327426,0.023473834,0.745985302,0.069712414,0.139064599,0.460464569,0.054067758,0.979680708,0.34024312,0
0.961342674,0.206182788,0.607148234,0.329136392,0.046366594,0.974243403,0.970766323,1,0.956500982,0.30330954,0.962184303,0.028500196,0.244599106,0.019295185,0.436652406,1
0.049096619,0.179624343,0.609788853,0.188798745,0.174433078,0.56742077,0.12409496,0.24971941,0.379449221,0.063893331,0.826960576,0.129797802,0.603063481,0.605026369,0.042048991,0
0.051308834,0.222582317,0.612528494,0.155679462,0.178974376,0.571760718,0.148334592,0.232512787,0.37461474,0.069957853,0.818126793,0.127894782,0.607584213,0.625691473,0.058413403,0
0.398471697,0.973809539,0.855229046,0.444345023,0.046522586,0.039991568,0.018454441,0.881980878,0.619520974,0.494636934,0.000340397,0.969024567,0.971072257,0.194510088,0.238538066,0
0.463338442,0.966378331,0.84124043,0.424554813,0.014654823,0.035728073,0.021855051,0.89063486,0.643488838,0.488167763,0.038691717,0.983286576,0.953258517,0.201303988,0.205198213,0
0.39615618,0.962387616,0.850681626,0.421298328,0.025956302,0.045243779,0.043464473,0.875057874,0.636960914,0.515189371,0.023788309,0.970784638,0.968541113,0.205608481,0.203691346,0
0.407988421,0.956437924,0.836804544,0.411385153,0.004596864,0.01417014,0.048660074,0.903029805,0.629524904,0.482287696,0.029564127,0.99908062,0.979211556,0.221066724,0.224405536,0
0.40362305,0.965745148,0.859156412,0.425780555,0.012349949,0.025019253,0.027525362,0.893686809,0.622147584,0.488524151,0.02926635,0.96639175,0.966250623,0.212218336,0.225424469,0
0.050654664,0.194925084,0.59924941,0.161607091,0.178125642,0.556542604,0.145447995,0.249683193,0.362670978,0.080702295,0.834073663,0.148419545,0.605236692,0.627889199,0.013462419,0
0.866824971,0.030027255,0.009017481,0.973224561,0.9439283,0.794692586,0.360978574,0.034967782,0.72018696,0.05447491,0.145806556,0.454987359,0.07304793,0.981743523,0.340142801,0
0.40023467,0.152744143,0.988749038,0.019150029,0.18177934,0.486494673,0.169150315,0.828517278,0.038960864,0.957999186,0.813623907,0.157190273,0.043149216,0.871041891,0.987380103,1
0.41414389,0.963805187,0.833074371,0.392001842,0.033947789,0.041465032,0.048637839,0.879044719,0.627515812,0.494016945,0.050326241,0.975165972,0.992321127,0.212995465,0.243561332,0
0.922968903,0.202247865,0.590895505,0.327070294,0.044615754,0.967771837,0.955600719,0.962931936,0.975803007,0.32330961,0.956128558,0.046824906,0.240856105,0.02225511,0.41743741,1
0.957622499,0.203175398,0.582843489,0.344219663,0.063326496,0.965676648,0.986194872,0.963729407,0.944502381,0.295753232,0.986708169,0.026623774,0.240794888,0.029102727,0.444322417,1
0.42453126,0.981253734,0.846830296,0.402807689,0.043512616,0.00564993,0.04901346,0.884904735,0.630943094,0.478698044,0.028450235,0.98754854,0.983396047,0.216516453,0.228521975,0
0.943290499,0.205671263,0.572539322,0.317928865,0.074199165,0.974875041,0.993189879,0.958459199,0.966972319,0.326752194,0.963907185,0.024828267,0.243334939,0.023953474,0.437550493,1
0.049233548,0.202600222,0.601284742,0.176605748,0.162971385,0.557588494,0.150150986,0.24714631,0.351288152,0.062510815,0.823011948,0.141368373,0.608912055,0.642280719,0.027544154,0
0.839807787,0.01710016,0.043254405,0.953264621,0.964591568,0.792247358,0.35201969,0.038170865,0.737192643,0.037046245,0.126140489,0.447097507,0.063283258,0.976519791,0.31729964,0
0.04010073,0.192822268,0.597388601,0.155179375,0.189348376,0.562733611,0.133371683,0.252737465,0.355890391,0.094296981,0.82121049,0.161910768,0.593778574,0.621674424,0.031308141,0
0.931473926,0.231016262,0.587225763,0.336370725,0.065556628,0.97556375,0.978601901,0.96159142,0.975480263,0.317109539,0.96981877,0.0279941,0.237447841,0.034053376,0.42070401,1
0.956766123,0.20253509,0.600434852,0.343308488,0.072412765,0.948114117,0.974838864,0.980078483,0.962611775,0.298406201,0.962492129,0.018974314,0.254303731,0.053709329,0.422179859,1
0.808953657,0.039009254,0.037179573,0.965090273,0.958406808,0.773422918,0.345545295,0.045726086,0.738126225,0.045791559,0.145506869,0.440178089,0.070935377,0.959380778,0.360969738,0
0.960484258,0.200477158,0.59249645,0.331311576,0.060896841,0.975387051,0.954745106,0.984449564,0.973089394,0.321324742,0.961670698,0.018087949,0.260215894,0.01618077,0.432145958,1
0.043700192,0.192409271,0.596882986,0.161628101,0.155588068,0.52881228,0.130690999,0.246033749,0.364346573,0.060460143,0.827212695,0.150445035,0.602258877,0.636882262,0.038485574,0
0.942072825,0.190215309,0.579260072,0.307548645,0.073681399,0.964603438,0.985559619,0.940141032,0.985050256,0.306354913,0.973361525,0.018643009,0.252720111,0.024732856,0.413165982,1
0.949523638,0.205764985,0.606450666,0.332306606,0.07095584,0.961906366,0.962464786,0.970135649,0.965640337,0.30349976,0.960709799,0.013046279,0.253906386,0.034477897,0.421362462,1
0.079612298,0.207422697,0.599298935,0.168897246,0.179996446,0.547336922,0.145756507,0.238824706,0.369536839,0.073024713,0.80279674,0.142939036,0.61448908,0.621395185,0,0
0.91385581,0.208800833,0.604863127,0.329729305,0.037287061,0.973870502,0.976068868,0.963491047,0.960692565,0.344887222,0.962942713,0.018011839,0.246976953,0.035084328,0.437559484,1
0.056085769,0.188851114,0.584230054,0.157377728,0.162172176,0.548493301,0.168564187,0.25548873,0.352087937,0.095777821,0.8167579,0.143160576,0.597520792,0.62861886,0.055323245,0
0.424935394,0.976504998,0.850143954,0.403432848,0.010243391,0.041918283,0.026108101,0.883699892,0.644504195,0.475121853,0.037667818,0.977111796,0.962710843,0.210313902,0.24101399,0
0.045960924,0.203588626,0.589695534,0.170208977,0.197921376,0.562688046,0.130314619,0.245967317,0.382867369,0.066705185,0.838074825,0.152719288,0.606838319,0.611153998,0.038974663,0
0.427328831,0.965332452,0.844122455,0.408768175,0.038647786,0.034940523,0.029017527,0.890411242,0.62458577,0.486789143,0.022029086,0.970779129,0.989975667,0.19938077,0.217534781,0
0.847152529,0.040791626,0.052990158,0.934452437,0.965046938,0.776136367,0.352115294,0.037350723,0.718709419,0.040113118,0.144945919,0.480079994,0.067525705,0.970081897,0.332708439,0
